,artists,genres
402,Adriana Caselotti,['movie tunes']
403,Adriana Chamorro,[]
404,Adriana Lazzarini,['italian mezzo-soprano']
405,Adriana Proenza,['spanish indie pop']
406,Adrianna Caselotti,[]
407,Adrianne Pieczonka,['classical soprano']
408,Adriano Banchieri,"['early music', 'renaissance']"
409,Adriano Celentano,"['classic italian pop', 'italian pop']"
410,Adriel Favela,"['corridos tumbados', 'regional mexican pop']"
411,Adrienne Albert,['american contemporary classical']
412,Adrián Patiño,['latin classical']
413,Adventure Club,"['brostep', 'canadian electronic', 'chillstep', 'complextro', 'edm', 'electro house', 'electronic trap', 'filthstep', 'melodic dubstep', 'pop edm']"
414,Aegis,"['classic opm', 'opm', 'pinoy rock']"
415,Aer,"['album rock', 'classic rock', 'hard rock', 'rock']"
416,Aero Chord,"['bass trap', 'catstep', 'edm', 'gaming edm', 'traprun']"
417,Aerodrom,"['croatian rock', 'yugoslav rock']"
418,Aerosmith,"['album rock', 'classic rock', 'hard rock', 'rock']"
419,Aesop Rock,"['abstract hip hop', 'alternative hip hop', 'conscious hip hop', 'escape room', 'hip hop']"
420,Afife Hanım,[]
421,Afric Simone,[]
422,African Doctor,[]
423,Africando,"['latin jazz', 'mambo', 'salsa', 'tropical']"
424,Afrika 70,[]
425,Afrika Bambaataa,"['bronx hip hop', 'east coast hip hop', 'electro', 'hip hop', 'hip house', 'old school hip hop']"
426,Afrikan Boy,[]
427,Afro B,"['afroswing', 'dancehall', 'uk dancehall']"
428,Afro Bros,"['basshall', 'dutch hip hop', 'dutch house', 'dutch trap pop']"
429,Afro Celt Sound System,"['celtic', 'world', 'world fusion']"
430,Afro-Cuban All Stars,['latin jazz']
431,Afrojack,"['big room', 'dance pop', 'deep big room', 'dutch house', 'edm', 'electro house', 'pop', 'progressive electro house', 'progressive house', 'tropical house']"
432,Afroman,"['comedy rap', 'gangster rap', 'hip hop', 'rap']"
433,Afroula,[]
434,After 7,"['funk', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
435,After The Burial,"['deathcore', 'djent', 'melodic metalcore', 'metalcore', 'progressive metalcore']"
436,After The Fire,['new wave']
437,Aftertheparty,"['trap soul', 'vapor trap']"
